Airline,Source,Destination,Total_Stops,Price,Dep_Weekday,Dep_Interval,Arrival_Interval,Duration(mins)
Jet Airways,Delhi,Cochin,1,5177,Wednesday,Afternoon,Noon,1355
Air India,Delhi,Cochin,0,8246,Thursday,Evening,Evening,185
Jet Airways,Kolkata,Banglore,1,14676,Sunday,Morning,Evening,690
Multiple carriers,Delhi,Cochin,1,13587,Thursday,Noon,Evening,570
Jet Airways,Kolkata,Banglore,1,9663,Monday,Evening,Morning,730
Jet Airways,Kolkata,Banglore,1,13044,Wednesday,Afternoon,Noon,1055
IndiGo,Delhi,Cochin,1,5073,Wednesday,Evening,Midnight,305
Vistara,Kolkata,Banglore,1,9345,Tuesday,Afternoon,Evening,1550
Jet Airways,Kolkata,Banglore,1,9663,Monday,Afternoon,Noon,1200
Multiple carriers,Delhi,Cochin,1,14277,Tuesday,Morning,Evening,780
Jet Airways,Delhi,Cochin,1,10262,Saturday,Noon,Before Dawn,1105
Jet Airways,Mumbai,Hyderabad,0,5678,Wednesday,Evening,Evening,90
Multiple carriers,Delhi,Cochin,1,13727,Wednesday,Afternoon,Midnight,570
Jet Airways,Kolkata,Banglore,1,9663,Monday,Evening,Noon,960
IndiGo,Chennai,Kolkata,0,3858,Sunday,Afternoon,Afternoon,140
SpiceJet,Delhi,Cochin,1,4812,Monday,Morning,Noon,270
IndiGo,Delhi,Cochin,1,5775,Thursday,Evening,Before Dawn,345
Jet Airways,Kolkata,Banglore,1,10539,Thursday,Morning,Morning,1450
IndiGo,Kolkata,Banglore,0,4804,Monday,Afternoon,Evening,155
Air Asia,Banglore,Delhi,0,3383,Wednesday,Noon,Noon,165
IndiGo,Banglore,New Delhi,1,8738,Sunday,Noon,Afternoon,295
Air India,Delhi,Cochin,1,7165,Wednesday,Before Dawn,Morning,1535
IndiGo,Delhi,Cochin,1,6412,Monday,Afternoon,Midnight,380
Jet Airways,Banglore,Delhi,0,8016,Thursday,Evening,Evening,185
Jet Airways,Banglore,New Delhi,1,11087,Tuesday,Evening,Afternoon,1120
SpiceJet,Chennai,Kolkata,0,3543,Thursday,Morning,Noon,135
Jet Airways,Kolkata,Banglore,1,12471,Wednesday,Afternoon,Before Dawn,730
Jet Airways,Delhi,Cochin,1,10262,Monday,Morning,Before Dawn,1165
Air India,Banglore,New Delhi,0,4441,Monday,Noon,Afternoon,170
Multiple carriers,Delhi,Cochin,1,12537,Wednesday,Morning,Afternoon,505
GoAir,Kolkata,Banglore,1,10091,Sunday,Midnight,Morning,555
Air India,Banglore,Delhi,0,6961,Monday,Evening,Midnight,170
IndiGo,Delhi,Cochin,0,5013,Wednesday,Before Dawn,Morning,195
Air India,Delhi,Cochin,0,6934,Saturday,Before Dawn,Morning,170
Multiple carriers,Delhi,Cochin,1,10877,Monday,Morning,Evening,740
Jet Airways,Banglore,Delhi,0,7229,Thursday,Afternoon,Evening,175
IndiGo,Delhi,Cochin,1,7048,Wednesday,Afternoon,Midnight,575
Vistara,Banglore,Delhi,0,4878,Thursday,Afternoon,Evening,155
Jet Airways,Kolkata,Banglore,1,10844,Tuesday,Afternoon,Midnight,570
Jet Airways,Delhi,Cochin,2,15129,Saturday,Midnight,Before Dawn,1760
IndiGo,Banglore,Delhi,0,3943,Sunday,Midnight,Before Dawn,175
SpiceJet,Delhi,Cochin,1,5583,Thursday,Morning,Noon,315
Multiple carriers,Delhi,Cochin,1,9646,Thursday,Morning,Afternoon,545
Multiple carriers,Delhi,Cochin,1,7677,Monday,Morning,Evening,645
IndiGo,Delhi,Cochin,1,6842,Saturday,Before Dawn,Noon,295
Jet Airways,Mumbai,Hyderabad,0,4995,Monday,Morning,Noon,90
Vistara,Kolkata,Banglore,1,9555,Sunday,Morning,Evening,700
IndiGo,Banglore,Delhi,0,4077,Saturday,Midnight,Before Dawn,165
Jet Airways,Banglore,Delhi,0,7229,Sunday,Afternoon,Evening,175
Multiple carriers,Delhi,Cochin,1,12192,Sunday,Morning,Evening,600
Air India,Banglore,Delhi,0,5911,Friday,Noon,Noon,165
Air India,Delhi,Cochin,1,8372,Wednesday,Morning,Evening,615
Jet Airways,Mumbai,Hyderabad,0,4995,Monday,Morning,Morning,85
Multiple carriers,Delhi,Cochin,1,14323,Thursday,Noon,Evening,555
Jet Airways,Delhi,Cochin,2,13014,Sunday,Before Dawn,Before Dawn,1375
Air India,Delhi,Cochin,2,13591,Thursday,Afternoon,Evening,1730
Jet Airways,Delhi,Cochin,2,18799,Sunday,Before Dawn,Evening,2245
IndiGo,Banglore,Delhi,0,3943,Saturday,Midnight,Before Dawn,170
SpiceJet,Mumbai,Hyderabad,0,1965,Tuesday,Before Dawn,Morning,90
Jet Airways,Mumbai,Hyderabad,0,4995,Monday,Noon,Noon,90
Air India,Kolkata,Banglore,1,14641,Sunday,Afternoon,Evening,1540
Air India,Kolkata,Banglore,0,4460,Friday,Evening,Midnight,155
Air India,Delhi,Cochin,1,10191,Saturday,Noon,Evening,375
Jet Airways,Delhi,Cochin,1,13843,Saturday,Before Dawn,Evening,1050
IndiGo,Delhi,Cochin,1,6349,Wednesday,Evening,Before Dawn,345
Air Asia,Kolkata,Banglore,0,4409,Wednesday,Noon,Noon,155
Jet Airways,Delhi,Cochin,1,17024,Wednesday,Evening,Evening,1530
Multiple carriers,Delhi,Cochin,1,13727,Saturday,Morning,Evening,835
IndiGo,Banglore,New Delhi,0,8855,Friday,Evening,Evening,175
Multiple carriers,Delhi,Cochin,1,12524,Monday,Morning,Evening,615
Jet Airways,Banglore,New Delhi,1,13555,Monday,Noon,Evening,520
Jet Airways,Kolkata,Banglore,1,10844,Thursday,Morning,Noon,330
Multiple carriers,Delhi,Cochin,1,13587,Sunday,Morning,Evening,720
SpiceJet,Chennai,Kolkata,0,3543,Wednesday,Morning,Noon,135
Vistara,Chennai,Kolkata,0,4842,Monday,Morning,Morning,135
IndiGo,Banglore,Delhi,0,3943,Wednesday,Midnight,Before Dawn,170
Jet Airways,Delhi,Cochin,1,10577,Sunday,Evening,Before Dawn,550
IndiGo,Delhi,Cochin,1,6979,Wednesday,Noon,Evening,625
Vistara,Chennai,Kolkata,0,11982,Thursday,Afternoon,Evening,140
SpiceJet,Delhi,Cochin,1,5264,Thursday,Morning,Noon,270
Vistara,Delhi,Cochin,0,8001,Sunday,Morning,Morning,190
Air India,Delhi,Cochin,2,10651,Saturday,Evening,Evening,1410
Jet Airways,Kolkata,Banglore,1,10844,Friday,Afternoon,Evening,1640
Multiple carriers,Delhi,Cochin,1,6601,Wednesday,Morning,Midnight,755
Air India,Delhi,Cochin,1,6587,Thursday,Evening,Evening,1455
SpiceJet,Mumbai,Hyderabad,0,3173,Thursday,Noon,Afternoon,80
Air India,Banglore,Delhi,0,5228,Thursday,Noon,Noon,165
Jet Airways,Banglore,Delhi,0,5769,Friday,Morning,Noon,180
Jet Airways,Delhi,Cochin,1,14714,Thursday,Morning,Evening,660
Jet Airways,Delhi,Cochin,2,13014,Monday,Before Dawn,Evening,810
IndiGo,Banglore,Delhi,0,3359,Monday,Midnight,Midnight,170
GoAir,Banglore,New Delhi,0,6722,Sunday,Evening,Midnight,175
IndiGo,Kolkata,Banglore,0,4462,Monday,Morning,Noon,165
IndiGo,Delhi,Cochin,1,6171,Saturday,Before Dawn,Afternoon,675
Air India,Kolkata,Banglore,2,12303,Tuesday,Before Dawn,Evening,875
Multiple carriers,Delhi,Cochin,1,7695,Thursday,Noon,Midnight,835
IndiGo,Delhi,Cochin,1,5684,Monday,Noon,Midnight,845
Air India,Kolkata,Banglore,1,8366,Wednesday,Afternoon,Morning,905
Air India,Chennai,Kolkata,0,19630,Friday,Noon,Noon,135
Jet Airways,Banglore,New Delhi,1,13502,Wednesday,Afternoon,Before Dawn,900
Jet Airways,Kolkata,Banglore,1,14781,Wednesday,Evening,Noon,775
Multiple carriers,Delhi,Cochin,1,6513,Wednesday,Morning,Afternoon,540
Air India,Delhi,Cochin,1,9929,Saturday,Morning,Evening,735
Multiple carriers,Delhi,Cochin,2,18275,Thursday,Afternoon,Midnight,460
Air India,Delhi,Cochin,1,4487,Tuesday,Morning,Morning,1640
IndiGo,Mumbai,Hyderabad,0,2754,Friday,Evening,Midnight,85
Air India,Mumbai,Hyderabad,0,2575,Wednesday,Morning,Morning,80
SpiceJet,Kolkata,Banglore,1,8224,Wednesday,Afternoon,Evening,330
Air India,Delhi,Cochin,1,8991,Saturday,Evening,Morning,705
IndiGo,Delhi,Cochin,0,5000,Monday,Before Dawn,Morning,195
Jet Airways,Kolkata,Banglore,1,8529,Wednesday,Evening,Evening,1495
Air India,Delhi,Cochin,1,14042,Sunday,Morning,Morning,1640
Jet Airways,Banglore,Delhi,0,4030,Friday,Noon,Afternoon,175
Jet Airways,Kolkata,Banglore,1,10844,Thursday,Evening,Noon,1025
IndiGo,Kolkata,Banglore,0,4804,Monday,Evening,Midnight,160
Multiple carriers,Delhi,Cochin,1,7308,Monday,Afternoon,Midnight,480
IndiGo,Banglore,Delhi,0,4823,Sunday,Afternoon,Evening,180
Jet Airways,Delhi,Cochin,1,10262,Monday,Morning,Noon,1655
Jet Airways,Delhi,Cochin,1,12898,Monday,Evening,Before Dawn,450
Air India,Banglore,New Delhi,2,12778,Tuesday,Afternoon,Afternoon,1375
IndiGo,Delhi,Cochin,1,14871,Sunday,Before Dawn,Noon,515
Air India,Delhi,Cochin,2,8708,Thursday,Noon,Evening,1795
Jet Airways,Kolkata,Banglore,1,10844,Thursday,Evening,Evening,1335
SpiceJet,Mumbai,Hyderabad,0,4129,Wednesday,Before Dawn,Morning,80
IndiGo,Kolkata,Banglore,0,4804,Saturday,Evening,Midnight,160
Jet Airways,Banglore,Delhi,0,7229,Monday,Morning,Noon,180
Jet Airways,Banglore,New Delhi,1,7832,Thursday,Morning,Evening,730
SpiceJet,Chennai,Kolkata,0,3859,Monday,Morning,Noon,155
Multiple carriers,Delhi,Cochin,1,9001,Thursday,Morning,Evening,705
Vistara,Banglore,Delhi,0,4878,Thursday,Afternoon,Evening,155
IndiGo,Mumbai,Hyderabad,0,2754,Friday,Before Dawn,Before Dawn,90
Vistara,Banglore,Delhi,0,4668,Thursday,Morning,Morning,160
Air Asia,Kolkata,Banglore,0,5216,Sunday,Noon,Noon,155
Jet Airways,Delhi,Cochin,2,10368,Thursday,Before Dawn,Before Dawn,1375
IndiGo,Delhi,Cochin,2,8146,Saturday,Morning,Evening,880
Jet Airways,Delhi,Cochin,1,12242,Wednesday,Noon,Before Dawn,925
Jet Airways,Banglore,New Delhi,1,9134,Friday,Morning,Afternoon,435
Air India,Delhi,Cochin,2,10939,Thursday,Noon,Morning,1210
Air India,Delhi,Cochin,2,11753,Thursday,Noon,Morning,1245
SpiceJet,Kolkata,Banglore,0,4174,Wednesday,Afternoon,Evening,150
Jet Airways,Kolkata,Banglore,1,10844,Tuesday,Evening,Evening,1430
Jet Airways,Delhi,Cochin,1,14714,Monday,Afternoon,Evening,1620
Jet Airways,Kolkata,Banglore,1,9899,Wednesday,Morning,Noon,330
IndiGo,Delhi,Cochin,1,14871,Sunday,Morning,Evening,710
IndiGo,Chennai,Kolkata,0,7295,Wednesday,Noon,Afternoon,135
Air India,Delhi,Cochin,2,13465,Thursday,Evening,Evening,1470
SpiceJet,Chennai,Kolkata,0,3543,Tuesday,Afternoon,Evening,140
Multiple carriers,Delhi,Cochin,1,7198,Thursday,Evening,Midnight,390
Jet Airways,Delhi,Cochin,1,10262,Saturday,Morning,Before Dawn,1225
IndiGo,Kolkata,Banglore,0,4148,Friday,Afternoon,Afternoon,155
Jet Airways,Banglore,Delhi,0,8016,Thursday,Afternoon,Evening,175
Jet Airways,Delhi,Cochin,1,10262,Sunday,Midnight,Before Dawn,335
SpiceJet,Kolkata,Banglore,0,3841,Saturday,Afternoon,Afternoon,150
Jet Airways,Banglore,New Delhi,1,11507,Tuesday,Morning,Midnight,885
Jet Airways,Kolkata,Banglore,1,14781,Wednesday,Morning,Evening,740
Jet Airways,Delhi,Cochin,1,16079,Monday,Afternoon,Evening,1530
Jet Airways,Delhi,Cochin,1,12898,Monday,Midnight,Before Dawn,335
Multiple carriers,Delhi,Cochin,1,15353,Wednesday,Morning,Evening,705
IndiGo,Banglore,New Delhi,0,7303,Sunday,Evening,Evening,175
SpiceJet,Kolkata,Banglore,1,6197,Sunday,Afternoon,Evening,340
Air India,Kolkata,Banglore,1,8996,Sunday,Morning,Noon,245
IndiGo,Delhi,Cochin,1,6528,Thursday,Afternoon,Midnight,480
GoAir,Banglore,Delhi,0,4239,Tuesday,Evening,Midnight,165
IndiGo,Kolkata,Banglore,0,4148,Tuesday,Evening,Midnight,160
SpiceJet,Banglore,Delhi,0,3971,Friday,Evening,Midnight,175
Air Asia,Kolkata,Banglore,1,5192,Monday,Morning,Midnight,955
Jet Airways,Delhi,Cochin,2,9483,Tuesday,Noon,Noon,1390
Jet Airways,Delhi,Cochin,2,18804,Monday,Noon,Evening,440
Air India,Delhi,Cochin,0,5201,Tuesday,Before Dawn,Morning,170
Jet Airways,Delhi,Cochin,1,16079,Monday,Noon,Evening,450
Jet Airways,Banglore,Delhi,0,7229,Saturday,Evening,Midnight,180
Multiple carriers,Delhi,Cochin,1,6795,Monday,Afternoon,Midnight,465
Jet Airways,Kolkata,Banglore,1,10953,Thursday,Morning,Noon,1520
Multiple carriers,Delhi,Cochin,2,15965,Monday,Afternoon,Midnight,625
Air India,Delhi,Cochin,2,9968,Tuesday,Noon,Evening,1820
IndiGo,Kolkata,Banglore,0,4804,Thursday,Midnight,Midnight,155
Jet Airways,Delhi,Cochin,1,16079,Monday,Noon,Evening,540
Jet Airways,Delhi,Cochin,2,11507,Wednesday,Evening,Noon,910
Air India,Kolkata,Banglore,2,11542,Sunday,Morning,Noon,1700
Jet Airways,Banglore,Delhi,0,7229,Wednesday,Afternoon,Evening,180
Jet Airways,Banglore,Delhi,0,4544,Saturday,Morning,Morning,165
IndiGo,Delhi,Cochin,1,6496,Wednesday,Before Dawn,Noon,295
IndiGo,Kolkata,Banglore,0,4804,Saturday,Evening,Midnight,160
Air India,Banglore,New Delhi,1,13439,Friday,Noon,Morning,1330
Jet Airways,Delhi,Cochin,1,6540,Wednesday,Evening,Before Dawn,610
IndiGo,Banglore,Delhi,0,4591,Saturday,Midnight,Before Dawn,170
IndiGo,Banglore,New Delhi,1,4437,Monday,Afternoon,Evening,260
Air Asia,Delhi,Cochin,1,6151,Thursday,Evening,Morning,660
Jet Airways,Banglore,Delhi,0,7754,Friday,Afternoon,Evening,180
Jet Airways,Delhi,Cochin,1,10262,Monday,Afternoon,Noon,1355
Jet Airways,Banglore,Delhi,0,8016,Sunday,Evening,Evening,185
SpiceJet,Kolkata,Banglore,0,4781,Sunday,Morning,Morning,160
